Metric,Value
Email,user228962@exam.org
Submission Time,2026-01-04 15:03:20
Answered Count,18
Total Questions,25
Time Spent,8:46
Tab Change Count,0

ANSWERS DETAILS
Question ID,Answer Type,User Answer (Text),Audio URL,Transcription,Time to Answer,Answered At,Question Displayed At,Audio Duration
section1_accomodation_Q1,Text,21,,,0:06,2026-01-04T14:54:40.693Z,2026-01-04T14:54:34.176Z,
section1_accomodation_Q2,Text,student,,,0:07,2026-01-04T14:54:48.356Z,2026-01-04T14:54:40.756Z,
section1_accomodation_Q3,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F1KznrIROVcQisRpGQw0kRF79lEW2%2Fsection1_accomodation_Q3%2F1767538524039.webm?alt=media&token=dc9f02b3-0cda-419a-b0a3-ceaad63285d5,survey.,0:38,2026-01-04T14:55:27.077Z,2026-01-04T14:54:48.431Z,
section1_accomodation_Q4,Text,I remember better when I hear.,,,0:11,2026-01-04T14:55:38.556Z,2026-01-04T14:55:27.162Z,
section1_accomodation_Q5,Text,How old are you?,,,0:20,2026-01-04T14:55:59.438Z,2026-01-04T14:55:38.637Z,
section2_control_Q12,Text,Log N,,,0:08,2026-01-04T14:58:25.258Z,2026-01-04T14:58:16.804Z,
section2_control_Q4,Text,Switch,,,0:22,2026-01-04T14:57:45.154Z,2026-01-04T14:57:22.986Z,
section2_control_Q6,Text,Transport layer,,,0:22,2026-01-04T14:58:07.583Z,2026-01-04T14:57:45.221Z,
section2_control_Q9,Text,Graphs,,,0:06,2026-01-04T14:58:14.377Z,2026-01-04T14:58:07.648Z,
section2_standard_Q4,Text,Router,,,0:14,2026-01-04T14:56:13.625Z,2026-01-04T14:55:59.505Z,
section2_standard_Q6,Text,Network layer,,,0:49,2026-01-04T14:57:03.528Z,2026-01-04T14:56:13.701Z,
section2_standard_Q9,Text,Tree,,,0:09,2026-01-04T14:57:13.384Z,2026-01-04T14:57:03.592Z,
section3_control_Q11,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F1KznrIROVcQisRpGQw0kRF79lEW2%2Fsection3_control_Q11%2F1767538991464.webm?alt=media&token=bb02b982-8e97-4bf1-b56c-bf72df0c68f3,merge sort.,0:37,2026-01-04T15:03:12.921Z,2026-01-04T15:02:35.360Z,0:03
section3_control_Q5,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F1KznrIROVcQisRpGQw0kRF79lEW2%2Fsection3_control_Q5%2F1767538897454.webm?alt=media&token=71a9be3a-3ce3-4d77-a2bd-93a48d5aab85,delete.,0:19,2026-01-04T15:01:38.206Z,2026-01-04T15:01:19.096Z,0:03
section3_control_Q7,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F1KznrIROVcQisRpGQw0kRF79lEW2%2Fsection3_control_Q7%2F1767538942687.webm?alt=media&token=dc476c6c-0c1e-467f-8f36-1a6defa0e36a,polymorphism.,0:46,2026-01-04T15:02:24.985Z,2026-01-04T15:01:38.291Z,0:04
section3_standard_Q11,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F1KznrIROVcQisRpGQw0kRF79lEW2%2Fsection3_standard_Q11%2F1767538866358.webm?alt=media&token=5cb8e1dd-0da9-4179-bf8a-ca231131521f,insertion sort.,0:54,2026-01-04T15:01:08.362Z,2026-01-04T15:00:13.472Z,0:04
section3_standard_Q4,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F1KznrIROVcQisRpGQw0kRF79lEW2%2Fsection3_standard_Q4%2F1767538754332.webm?alt=media&token=a5992b73-ebd1-4b6a-9363-9a0d2b221d54,white area network.,0:51,2026-01-04T14:59:16.799Z,2026-01-04T14:58:25.341Z,0:02
section3_standard_Q5,Audio,,https://firebasestorage.googleapis.com/v0/b/exametric-439ba.firebasestorage.app/o/examAnswers%2F1KznrIROVcQisRpGQw0kRF79lEW2%2Fsection3_standard_Q5%2F1767538773335.webm?alt=media&token=73123a90-0835-4d43-b56e-25ffcc0478a2,news.,0:17,2026-01-04T14:59:34.147Z,2026-01-04T14:59:16.885Z,0:04
