Metric,Value
Email,user207221@exam.org
Submission Time,2025-12-23 09:28:09
Answered Count,14
Total Questions,25
Time Spent,4:09
Tab Change Count,5
,
ANSWERS DETAILS,
Question ID,Question Text,Answer Type,User Answer (Text),Audio URL,Transcription,Time to Answer,Answered At,Question Displayed At,Audio Duration
section1_accomodation_Q1,What is your age?,Text,22,,,0:15,2025-12-23T09:24:15.022Z,2025-12-23T09:23:59.939Z,
section1_accomodation_Q2,Choose what best describes you:,Text,student,,,0:02,2025-12-23T09:24:18.116Z,2025-12-23T09:24:15.132Z,
section1_accomodation_Q4,"Would you say you remember information better when you hear it or when you see it (for example, by reading or looking at images)?",Text,I remember better when I hear.,,,0:12,2025-12-23T09:24:34.655Z,2025-12-23T09:24:22.203Z,
section1_accomodation_Q5,Can you remember what the first question was? Write it down.,Text,What is your age?,,,0:11,2025-12-23T09:24:46.391Z,2025-12-23T09:24:34.746Z,
section2_control_Q1,Which number system uses base 2?,Text,Binary,,,0:23,2025-12-23T09:26:54.675Z,2025-12-23T09:26:31.286Z,
section2_control_Q10,Which command in SQL removes all table data but keeps the structure?,Text,DELETE,,,0:24,2025-12-23T09:27:34.035Z,2025-12-23T09:27:09.558Z,
section2_control_Q12,What is the Big O time complexity of binary search?,Text,O(log N),,,0:24,2025-12-23T09:27:58.304Z,2025-12-23T09:27:34.141Z,
section2_control_Q2,Which type of memory retains data even when power is off?,Text,ROM,,,0:05,2025-12-23T09:26:59.984Z,2025-12-23T09:26:54.767Z,
section2_control_Q5,Which logic gate outputs the opposite of its input?,Text,NOT,,,0:09,2025-12-23T09:27:09.451Z,2025-12-23T09:27:00.078Z,
section2_standard_Q1,How many bits are there in one byte?,Text,8,,,0:06,2025-12-23T09:24:52.629Z,2025-12-23T09:24:46.473Z,
section2_standard_Q10,Which SQL clause filters query results?,Text,WHERE,,,0:31,2025-12-23T09:26:20.492Z,2025-12-23T09:25:48.983Z,
section2_standard_Q12,What is the Big O time complexity of linear search?,Text,O(N),,,0:10,2025-12-23T09:26:31.188Z,2025-12-23T09:26:20.585Z,
section2_standard_Q2,Which type of memory is volatile and temporarily stores data during execution?,Text,RAM,,,0:47,2025-12-23T09:25:40.686Z,2025-12-23T09:24:52.789Z,
section2_standard_Q5,Which logic gate outputs true only when all inputs are true?,Text,AND,,,0:08,2025-12-23T09:25:48.884Z,2025-12-23T09:25:40.769Z,
