Metric,Value
Email,user311046@exam.org
Submission Time,2026-01-05 17:15:17
Answered Count,5
Total Questions,25
Time Spent,10:45
Tab Change Count,14
,
ANSWERS DETAILS,
Question ID,Answer Type,User Answer (Text),Audio URL,Transcription,Time to Answer,Answered At,Question Displayed At,Audio Duration
section1_accomodation_Q1,Text,14,,,0:08,2026-01-05T17:04:40.629Z,2026-01-05T17:04:32.390Z,
section1_accomodation_Q2,Text,working student,,,0:45,2026-01-05T17:05:26.628Z,2026-01-05T17:04:40.731Z,
section1_accomodation_Q4,Text,I remember better when I read.,,,0:58,2026-01-05T17:08:02.644Z,2026-01-05T17:07:03.978Z,
section2_control_Q10,Text,Truncate table,,,0:35,2026-01-05T17:14:46.099Z,2026-01-05T17:14:10.576Z,
section2_control_Q4,Text,Switch,,,0:29,2026-01-05T17:13:35.462Z,2026-01-05T17:13:06.085Z,
